density,instance,t_mean,t_stdev
0.1,1,6.49752e+06,795731
0.1,2,6.26156e+06,655690
0.1,3,6.06006e+06,356139
0.1,4,6.41246e+06,657842
0.1,5,6.29919e+06,680843
0.1,6,6.18518e+06,501306
0.1,7,6.34698e+06,604745
0.1,8,6.40465e+06,702633
0.1,9,6.5468e+06,585060
0.1,10,5.87412e+06,235149
0.1,11,5.78534e+06,223627
0.1,12,6.02061e+06,347223
0.1,13,6.05229e+06,471521
0.1,14,6.23316e+06,489344
0.1,15,6.01812e+06,351492
0.1,16,6.13168e+06,551562
0.1,17,6.00107e+06,371398
0.1,18,6.37155e+06,820050
0.1,19,6.16528e+06,591428
0.1,20,6.01184e+06,301126
0.1,21,5.97491e+06,384901
0.1,22,6.16286e+06,645706
0.1,23,6.21678e+06,1.13377e+06
0.1,24,6.03727e+06,389966
0.1,25,6.23249e+06,377740
0.1,26,6.00087e+06,416904
0.1,27,6.00177e+06,267668
0.1,28,6.28102e+06,634262
0.1,29,5.94139e+06,265703
0.1,30,5.92206e+06,286336
0.2,1,8.88612e+06,617682
0.2,2,8.39851e+06,240206
0.2,3,8.61852e+06,442057
0.2,4,8.64941e+06,560276
0.2,5,8.71186e+06,755354
0.2,6,8.52289e+06,520866
0.2,7,8.5506e+06,374255
0.2,8,8.98695e+06,557481
0.2,9,8.6385e+06,798368
0.2,10,8.63367e+06,1.0455e+06
0.2,11,8.71281e+06,448389
0.2,12,8.63093e+06,568640
0.2,13,8.70245e+06,429597
0.2,14,8.44776e+06,391296
0.2,15,8.46741e+06,408613
0.2,16,8.58462e+06,439895
0.2,17,8.58209e+06,427716
0.2,18,8.46633e+06,354632
0.2,19,8.42976e+06,431118
0.2,20,8.34182e+06,265463
0.2,21,8.43586e+06,351228
0.2,22,8.25364e+06,222168
0.2,23,9.36772e+06,1.90904e+06
0.2,24,8.3687e+06,335274
0.2,25,8.9029e+06,631226
0.2,26,8.44732e+06,467081
0.2,27,8.41096e+06,394584
0.2,28,8.8216e+06,594240
0.2,29,8.55398e+06,472174
0.2,30,9.13225e+06,1.36403e+06
0.3,1,1.18034e+07,557154
0.3,2,1.26667e+07,1.82081e+06
0.3,3,1.18908e+07,667211
0.3,4,1.32093e+07,3.52191e+06
0.3,5,1.20933e+07,762853
0.3,6,1.1933e+07,776619
0.3,7,1.23276e+07,1.05762e+06
0.3,8,1.33224e+07,1.74734e+06
0.3,9,1.30041e+07,1.19721e+06
0.3,10,1.40859e+07,1.85044e+06
0.3,11,1.38708e+07,1.62609e+06
0.3,12,1.26657e+07,826384
0.3,13,1.8204e+07,5.35781e+06
0.3,14,2.16304e+07,3.99657e+06
0.3,15,1.59876e+07,3.17074e+06
0.3,16,1.40269e+07,1.99477e+06
0.3,17,1.51355e+07,2.03595e+06
0.3,18,1.5499e+07,2.48979e+06
0.3,19,1.47858e+07,2.77594e+06
0.3,20,1.54117e+07,3.38941e+06
0.3,21,1.34422e+07,1.50655e+06
0.3,22,1.3602e+07,1.871e+06
0.3,23,1.21649e+07,1.02006e+06
0.3,24,1.43195e+07,2.28951e+06
0.3,25,1.38986e+07,1.43287e+06
0.3,26,1.5243e+07,1.56246e+06
0.3,27,1.64386e+07,2.29359e+06
0.3,28,1.68493e+07,5.82385e+06
0.3,29,1.77154e+07,2.72122e+06
0.3,30,1.54854e+07,3.14998e+06
0.4,1,1.89311e+07,3.22365e+06
0.4,2,1.88934e+07,3.9275e+06
0.4,3,2.27867e+07,3.45183e+06
0.4,4,2.20544e+07,4.95863e+06
0.4,5,1.72949e+07,2.78233e+06
0.4,6,1.95275e+07,5.31878e+06
0.4,7,1.66598e+07,1.7429e+06
0.4,8,1.5334e+07,1.2899e+06
0.4,9,1.63977e+07,1.40325e+06
0.4,10,1.60376e+07,1.2795e+06
0.4,11,1.53709e+07,1.14798e+06
0.4,12,1.54585e+07,1.01992e+06
0.4,13,1.56196e+07,1.16247e+06
0.4,14,1.60432e+07,1.62538e+06
0.4,15,1.63865e+07,1.73988e+06
0.4,16,1.57097e+07,1.16424e+06
0.4,17,1.63152e+07,1.5047e+06
0.4,18,1.6083e+07,2.70777e+06
0.4,19,1.87551e+07,2.95685e+06
0.4,20,1.8634e+07,7.00882e+06
0.4,21,1.64366e+07,1.63177e+06
