density,instance,t_mean,t_stdev
0.1,1,1.57649e+07,1.95806e+06
0.1,2,1.55398e+07,493779
0.1,3,1.55433e+07,558771
0.1,4,1.55482e+07,429080
0.1,5,1.54347e+07,450505
0.1,6,1.7197e+07,3.36322e+06
0.1,7,1.9992e+07,5.64654e+06
0.1,8,1.85764e+07,2.86338e+06
0.1,9,1.74972e+07,1.47999e+06
0.1,10,1.80973e+07,3.05108e+06
0.1,11,1.65086e+07,2.38125e+06
0.1,12,1.77192e+07,2.10927e+06
0.1,13,1.69889e+07,2.94902e+06
0.1,14,1.54938e+07,541491
0.1,15,2.05154e+07,4.39161e+06
0.1,16,1.76598e+07,2.05504e+06
0.1,17,1.7602e+07,3.26655e+06
0.1,18,1.92329e+07,2.75642e+06
0.1,19,2.08306e+07,5.77121e+06
0.1,20,2.15342e+07,5.45722e+06
0.1,21,1.97815e+07,5.2851e+06
0.1,22,1.83514e+07,3.71188e+06
0.1,23,1.66218e+07,2.07043e+06
0.1,24,1.77778e+07,2.83418e+06
0.1,25,1.80386e+07,2.78596e+06
0.1,26,1.99307e+07,3.39073e+06
0.1,27,2.0612e+07,6.18503e+06
0.1,28,1.82101e+07,1.86491e+06
0.1,29,2.23238e+07,5.09924e+06
0.1,30,2.56858e+07,4.11649e+06
0.2,1,4.88053e+07,1.37833e+07
0.2,2,3.81749e+07,9.03632e+06
0.2,3,3.07933e+07,2.11208e+06
0.2,4,3.43992e+07,6.15165e+06
0.2,5,3.61722e+07,3.74901e+06
0.2,6,3.50549e+07,5.50755e+06
0.2,7,3.46282e+07,4.80453e+06
0.2,8,3.12609e+07,3.36064e+06
0.2,9,3.21864e+07,2.21903e+06
0.2,10,3.30224e+07,3.42151e+06
0.2,11,3.01505e+07,972935
0.2,12,3.14489e+07,7.38024e+06
0.2,13,3.07552e+07,1.45999e+06
0.2,14,3.02487e+07,1.4418e+06
0.2,15,3.13049e+07,2.00236e+06
0.2,16,2.97927e+07,932878
0.2,17,2.98759e+07,1.1434e+06
0.2,18,2.97e+07,818077
0.2,19,2.97162e+07,840425
0.2,20,3.10764e+07,1.87946e+06
0.2,21,3.167e+07,3.13196e+06
0.2,22,3.08599e+07,1.67254e+06
0.2,23,3.09179e+07,1.65175e+06
0.2,24,3.11511e+07,1.35149e+06
0.2,25,3.16767e+07,3.23379e+06
0.2,26,3.12609e+07,1.46933e+06
0.2,27,3.28876e+07,7.62484e+06
0.2,28,3.19724e+07,2.02981e+06
0.2,29,3.06636e+07,1.86248e+06
0.2,30,2.94278e+07,869653
0.3,1,4.51654e+07,2.4778e+06
0.3,2,4.48337e+07,1.9719e+06
0.3,3,4.57614e+07,2.58371e+06
0.3,4,4.91652e+07,4.48615e+06
0.3,5,5.16071e+07,6.59583e+06
0.3,6,4.41966e+07,1.82364e+06
0.3,7,4.68407e+07,6.99752e+06
0.3,8,4.9943e+07,6.13897e+06
0.3,9,4.64498e+07,2.23723e+06
0.3,10,4.81433e+07,4.83763e+06
0.3,11,4.64978e+07,3.79742e+06
0.3,12,4.82939e+07,3.90807e+06
0.3,13,4.67336e+07,3.71177e+06
0.3,14,4.45666e+07,1.87487e+06
0.3,15,4.61406e+07,4.28698e+06
0.3,16,4.73029e+07,4.13877e+06
0.3,17,4.80687e+07,4.80959e+06
0.3,18,4.49492e+07,1.65117e+06
0.3,19,4.77346e+07,5.25127e+06
0.3,20,5.28663e+07,1.09533e+07
0.3,21,4.77572e+07,6.28252e+06
0.3,22,4.78454e+07,5.58705e+06
0.3,23,4.53652e+07,2.36969e+06
0.3,24,4.74061e+07,3.40615e+06
0.3,25,4.43127e+07,2.32722e+06
0.3,26,4.83027e+07,6.15905e+06
0.3,27,4.44821e+07,2.05707e+06
0.3,28,4.48703e+07,2.04068e+06
0.3,29,4.43765e+07,2.85172e+06
0.3,30,4.25641e+07,1.19903e+06
0.4,1,5.84988e+07,5.0656e+06
0.4,2,6.17695e+07,5.51519e+06
0.4,3,5.72678e+07,2.48505e+06
0.4,4,6.11091e+07,5.37153e+06
0.4,5,6.15199e+07,4.05895e+06
0.4,6,6.07814e+07,3.77767e+06
0.4,7,6.03063e+07,5.04809e+06
0.4,8,6.16844e+07,5.13615e+06
0.4,9,6.0993e+07,6.18577e+06
0.4,10,6.50305e+07,5.90179e+06
0.4,11,6.53404e+07,1.00295e+07
0.4,12,6.02795e+07,2.11399e+06
0.4,13,6.0261e+07,1.39024e+06
0.4,14,5.93524e+07,1.62499e+06
0.4,15,6.12116e+07,1.75421e+06
0.4,16,6.24717e+07,4.63138e+06
0.4,17,6.12567e+07,2.68482e+06
0.4,18,5.97371e+07,2.12623e+06
0.4,19,6.00913e+07,2.8531e+06
0.4,20,6.32558e+07,9.2418e+06
0.4,21,6.38151e+07,8.29093e+06
0.4,22,6.5692e+07,9.02944e+06
0.4,23,6.03214e+07,2.89425e+06
0.4,24,5.89672e+07,2.70366e+06
0.4,25,6.50155e+07,8.30845e+06
0.4,26,7.10369e+07,1.15942e+07
0.4,27,6.561e+07,9.80459e+06
0.4,28,6.79843e+07,7.10521e+06
0.4,29,6.15549e+07,7.75895e+06
0.4,30,6.49499e+07,8.97205e+06
0.5,1,8.72374e+07,8.19181e+06
0.5,2,8.89446e+07,1.39154e+07
0.5,3,8.53933e+07,8.67979e+06
0.5,4,8.05965e+07,6.37351e+06
0.5,5,7.90939e+07,4.95458e+06
0.5,6,8.06558e+07,1.24767e+07
0.5,7,7.32096e+07,2.22892e+06
0.5,8,7.43304e+07,2.27162e+06
0.5,9,7.57519e+07,6.24862e+06
0.5,10,7.46825e+07,1.49779e+06
0.5,11,7.35729e+07,1.83668e+06
0.5,12,7.38526e+07,5.77197e+06
0.5,13,7.22173e+07,1.40092e+06
0.5,14,7.25231e+07,1.75009e+06
0.5,15,7.38977e+07,1.95718e+06
0.5,16,8.11189e+07,1.01984e+07
0.5,17,7.74357e+07,6.67427e+06
0.5,18,7.89084e+07,9.63717e+06
0.5,19,7.59494e+07,7.0136e+06
0.5,20,7.28082e+07,6.49278e+06
0.5,21,7.04237e+07,1.88357e+06
0.5,22,7.54022e+07,4.0273e+06
0.5,23,7.82098e+07,8.03485e+06
0.5,24,7.78537e+07,3.65841e+06
0.5,25,7.62747e+07,3.97095e+06
0.5,26,7.45246e+07,5.14483e+06
0.5,27,7.27054e+07,3.2476e+06
0.5,28,7.24972e+07,3.14753e+06
0.5,29,7.64775e+07,5.30747e+06
0.5,30,8.12742e+07,9.04703e+06
0.6,1,8.9011e+07,5.81481e+06
0.6,2,8.89417e+07,3.3217e+06
0.6,3,8.79697e+07,2.28273e+06
0.6,4,8.88756e+07,3.61694e+06
0.6,5,8.90092e+07,2.55933e+06
0.6,6,8.92154e+07,3.41894e+06
0.6,7,8.81561e+07,2.12053e+06
0.6,8,8.98355e+07,3.26579e+06
0.6,9,8.80103e+07,3.11617e+06
0.6,10,9.19486e+07,4.49221e+06
0.6,11,9.2952e+07,7.04346e+06
0.6,12,8.96404e+07,2.88766e+06
0.6,13,9.0386e+07,5.02796e+06
0.6,14,8.89999e+07,2.74414e+06
0.6,15,8.83374e+07,3.10185e+06
0.6,16,8.73943e+07,2.41689e+06
0.6,17,9.0351e+07,4.174e+06
0.6,18,8.96988e+07,3.44915e+06
0.6,19,8.86135e+07,3.50449e+06
0.6,20,8.9077e+07,3.33134e+06
0.6,21,8.87717e+07,4.51504e+06
0.6,22,9.25753e+07,7.59857e+06
0.6,23,9.25737e+07,4.84458e+06
0.6,24,9.74091e+07,1.29337e+07
0.6,25,8.95514e+07,3.17342e+06
0.6,26,9.08835e+07,6.50704e+06
0.6,27,8.90003e+07,3.49143e+06
0.6,28,9.28519e+07,9.61872e+06
0.6,29,9.04647e+07,5.02379e+06
0.6,30,8.82283e+07,3.01763e+06
0.7,1,1.03376e+08,6.74737e+06
0.7,2,1.00792e+08,3.81697e+06
0.7,3,1.02578e+08,8.82332e+06
0.7,4,1.03048e+08,5.6358e+06
0.7,5,1.03011e+08,3.94758e+06
0.7,6,1.07227e+08,1.15773e+07
0.7,7,1.03129e+08,3.78611e+06
0.7,8,1.00243e+08,2.81324e+06
0.7,9,9.89595e+07,3.02702e+06
0.7,10,9.98854e+07,3.06485e+06
0.7,11,9.8413e+07,3.38638e+06
0.7,12,9.88781e+07,2.6771e+06
0.7,13,9.80735e+07,3.01979e+06
0.7,14,1.01134e+08,8.46691e+06
0.7,15,9.85541e+07,2.4634e+06
0.7,16,9.85008e+07,2.64408e+06
0.7,17,9.86949e+07,2.82412e+06
0.7,18,9.88615e+07,2.85667e+06
0.7,19,9.7918e+07,2.08196e+06
0.7,20,1.0107e+08,5.80007e+06
0.7,21,9.76072e+07,2.89144e+06
0.7,22,9.81092e+07,2.48545e+06
0.7,23,9.85944e+07,2.60006e+06
0.7,24,9.94868e+07,4.43059e+06
0.7,25,9.90802e+07,2.91923e+06
0.7,26,1.04363e+08,1.44461e+07
0.7,27,1.01483e+08,7.50651e+06
0.7,28,9.9441e+07,3.01029e+06
0.7,29,9.98286e+07,2.69146e+06
0.7,30,1.00256e+08,2.73565e+06
0.8,1,1.13485e+08,2.46087e+06
0.8,2,1.13801e+08,2.66613e+06
0.8,3,1.13575e+08,2.70512e+06
0.8,4,1.12867e+08,3.01987e+06
0.8,5,1.13437e+08,3.41375e+06
0.8,6,1.15957e+08,7.8671e+06
0.8,7,1.14983e+08,5.53759e+06
0.8,8,1.14876e+08,4.63592e+06
0.8,9,1.1599e+08,7.82253e+06
0.8,10,1.13998e+08,2.04096e+06
0.8,11,1.16384e+08,6.31083e+06
0.8,12,1.14847e+08,5.35634e+06
0.8,13,1.14903e+08,6.22011e+06
0.8,14,1.13884e+08,2.70367e+06
0.8,15,1.14475e+08,3.15854e+06
0.8,16,1.16235e+08,7.4784e+06
0.8,17,1.13595e+08,2.48951e+06
0.8,18,1.14356e+08,4.47273e+06
0.8,19,1.14253e+08,3.09964e+06
0.8,20,1.1492e+08,6.05291e+06
0.8,21,1.13088e+08,2.46239e+06
0.8,22,1.13602e+08,2.42749e+06
0.8,23,1.16775e+08,1.1268e+07
0.8,24,1.13898e+08,2.55606e+06
0.8,25,1.14659e+08,5.76947e+06
0.8,26,1.14202e+08,3.03576e+06
0.8,27,1.1692e+08,9.41266e+06
0.8,28,1.13939e+08,2.79796e+06
0.8,29,1.14447e+08,5.8838e+06
0.8,30,1.15008e+08,4.32956e+06
0.9,1,1.28787e+08,5.71806e+06
0.9,2,1.27777e+08,4.34373e+06
0.9,3,1.28384e+08,5.93744e+06
0.9,4,1.28475e+08,3.52241e+06
0.9,5,1.28433e+08,3.78193e+06
0.9,6,1.29175e+08,6.76392e+06
0.9,7,1.28324e+08,6.02974e+06
0.9,8,1.26753e+08,2.13127e+06
0.9,9,1.28104e+08,4.44612e+06
0.9,10,1.28242e+08,6.73535e+06
0.9,11,1.28267e+08,4.8041e+06
0.9,12,1.3015e+08,1.12269e+07
0.9,13,1.28124e+08,4.46341e+06
0.9,14,1.28781e+08,6.94123e+06
0.9,15,1.28496e+08,4.98312e+06
0.9,16,1.28663e+08,5.88601e+06
0.9,17,1.28925e+08,6.20006e+06
0.9,18,1.29078e+08,6.46792e+06
0.9,19,1.28054e+08,6.91602e+06
0.9,20,1.30004e+08,6.18988e+06
0.9,21,1.30264e+08,9.29219e+06
0.9,22,1.29318e+08,6.97587e+06
0.9,23,1.28539e+08,4.40875e+06
0.9,24,1.26863e+08,1.88743e+06
0.9,25,1.27422e+08,4.45549e+06
0.9,26,1.34831e+08,1.69226e+07
0.9,27,1.29166e+08,7.18057e+06
0.9,28,1.30227e+08,8.20941e+06
0.9,29,1.35851e+08,9.99109e+06
0.9,30,1.34798e+08,9.49753e+06
