density,instance,t_mean,t_stdev
0.1,1,4.14052e+07,3.62265e+06
0.1,2,4.32134e+07,4.38882e+06
0.1,3,4.35493e+07,3.69618e+06
0.1,4,4.9487e+07,1.2726e+07
0.1,5,4.37273e+07,5.53129e+06
0.1,6,4.43042e+07,4.13782e+06
0.1,7,5.88491e+07,1.34122e+07
0.1,8,4.56544e+07,4.3048e+06
0.1,9,4.7695e+07,4.90546e+06
0.1,10,5.23981e+07,7.93718e+06
0.1,11,4.99663e+07,9.40196e+06
0.1,12,5.38505e+07,2.3893e+07
0.1,13,4.48575e+07,2.39875e+06
0.1,14,4.31602e+07,3.12067e+06
0.1,15,4.75735e+07,1.72518e+07
0.1,16,5.29989e+07,1.49848e+07
0.1,17,4.74689e+07,5.3466e+06
0.1,18,4.61945e+07,5.84641e+06
0.1,19,5.13406e+07,8.33309e+06
0.1,20,5.36732e+07,8.08252e+06
0.1,21,4.61499e+07,4.79409e+06
0.1,22,4.69436e+07,3.65361e+06
0.1,23,4.53483e+07,5.51103e+06
0.1,24,4.26999e+07,2.4069e+06
0.1,25,4.3039e+07,2.3885e+06
0.1,26,4.33187e+07,2.95736e+06
0.1,27,4.82923e+07,1.07878e+07
0.1,28,4.78688e+07,6.62899e+06
0.1,29,5.09422e+07,1.46417e+07
0.1,30,5.36564e+07,6.05386e+06
0.2,1,9.45628e+07,1.70463e+07
0.2,2,9.89682e+07,2.17851e+07
0.2,3,8.03945e+07,1.05713e+07
0.2,4,7.53585e+07,3.54338e+06
0.2,5,7.54882e+07,3.54012e+06
0.2,6,7.48369e+07,4.21923e+06
0.2,7,7.48845e+07,3.55351e+06
0.2,8,7.60498e+07,4.13694e+06
0.2,9,7.4893e+07,4.67083e+06
0.2,10,7.42111e+07,4.34364e+06
0.2,11,7.53844e+07,6.27719e+06
0.2,12,7.47798e+07,5.53657e+06
0.2,13,7.40256e+07,2.82891e+06
0.2,14,7.78982e+07,1.03955e+07
0.2,15,7.6053e+07,6.0382e+06
0.2,16,7.40848e+07,3.38791e+06
0.2,17,7.47504e+07,4.2024e+06
0.2,18,7.44805e+07,3.83824e+06
0.2,19,7.45315e+07,4.23889e+06
0.2,20,7.56004e+07,6.92784e+06
0.2,21,7.39461e+07,3.46135e+06
0.2,22,7.47478e+07,5.06394e+06
0.2,23,7.44125e+07,3.59867e+06
0.2,24,7.43291e+07,4.04106e+06
0.2,25,7.69949e+07,7.53481e+06
0.2,26,7.83008e+07,1.03893e+07
0.2,27,7.66123e+07,1.09453e+07
0.2,28,7.7251e+07,2.58204e+07
0.2,29,7.30011e+07,5.78176e+06
0.2,30,7.24557e+07,4.04247e+06
0.3,1,1.06796e+08,7.23623e+06
0.3,2,1.04977e+08,5.59467e+06
0.3,3,1.05364e+08,1.11116e+07
0.3,4,1.04428e+08,7.60504e+06
0.3,5,1.0463e+08,4.91939e+06
0.3,6,1.02957e+08,5.0099e+06
0.3,7,1.0447e+08,5.68299e+06
0.3,8,1.05299e+08,7.62072e+06
0.3,9,1.02899e+08,3.77185e+06
0.3,10,1.04531e+08,6.62673e+06
0.3,11,1.05245e+08,1.28093e+07
0.3,12,1.02756e+08,3.31214e+06
0.3,13,1.04258e+08,5.59907e+06
0.3,14,1.05245e+08,1.09883e+07
0.3,15,1.04676e+08,1.24545e+07
0.3,16,1.05452e+08,9.95618e+06
0.3,17,1.04482e+08,6.14341e+06
0.3,18,1.02839e+08,2.6694e+06
0.3,19,1.04862e+08,7.96054e+06
0.3,20,1.05986e+08,9.82931e+06
0.3,21,1.04223e+08,9.8833e+06
0.3,22,1.0605e+08,1.34193e+07
0.3,23,1.05013e+08,5.75813e+06
0.3,24,1.05169e+08,1.71372e+07
0.3,25,1.06574e+08,1.04846e+07
0.3,26,1.04112e+08,5.72416e+06
0.3,27,1.08322e+08,2.45999e+07
0.3,28,1.05794e+08,1.29897e+07
0.3,29,1.06308e+08,1.01476e+07
0.3,30,1.08288e+08,2.86892e+07
0.4,1,1.43406e+08,3.74153e+07
0.4,2,1.41264e+08,2.38526e+07
0.4,3,1.39483e+08,1.66717e+07
0.4,4,1.43443e+08,3.33794e+07
0.4,5,1.38051e+08,8.59682e+06
0.4,6,1.38465e+08,1.89478e+07
0.4,7,1.4278e+08,4.4155e+07
0.4,8,1.40244e+08,2.33866e+07
0.4,9,1.41085e+08,3.82643e+07
0.4,10,1.41873e+08,3.50604e+07
0.4,11,1.40083e+08,2.16276e+07
0.4,12,1.40217e+08,1.93602e+07
0.4,13,1.40437e+08,2.56303e+07
0.4,14,1.3873e+08,1.66436e+07
0.4,15,1.44941e+08,5.08939e+07
0.4,16,1.4258e+08,3.84842e+07
0.4,17,1.41631e+08,3.21385e+07
0.4,18,1.41209e+08,3.51294e+07
0.4,19,1.39939e+08,3.05024e+07
0.4,20,1.41432e+08,3.59597e+07
0.4,21,1.40902e+08,2.49361e+07
0.4,22,1.38537e+08,1.67827e+07
0.4,23,1.41147e+08,3.27895e+07
0.4,24,1.41549e+08,3.35044e+07
0.4,25,1.38566e+08,2.0909e+07
0.4,26,1.41759e+08,2.57352e+07
0.4,27,1.35693e+08,4.94307e+06
0.4,28,1.36015e+08,6.00649e+06
0.4,29,1.36489e+08,7.04465e+06
0.4,30,1.36885e+08,9.48825e+06
0.5,1,1.71446e+08,2.20675e+07
0.5,2,1.7002e+08,1.92234e+07
0.5,3,1.70646e+08,1.84242e+07
0.5,4,1.68361e+08,9.07068e+06
0.5,5,1.68773e+08,1.3249e+07
0.5,6,1.6846e+08,1.4647e+07
0.5,7,1.69324e+08,2.46034e+07
0.5,8,1.72333e+08,4.01162e+07
0.5,9,1.67431e+08,1.20193e+07
0.5,10,1.69705e+08,1.4233e+07
0.5,11,1.73673e+08,1.40371e+07
0.5,12,1.75713e+08,2.58738e+07
0.5,13,1.81954e+08,5.59599e+07
0.5,14,1.73406e+08,1.71668e+07
0.5,15,1.80528e+08,5.90676e+07
0.5,16,1.73572e+08,1.9486e+07
0.5,17,1.72651e+08,2.67467e+07
0.5,18,1.71813e+08,1.48712e+07
0.5,19,1.69752e+08,9.22088e+06
0.5,20,1.69368e+08,1.82243e+07
0.5,21,1.7508e+08,5.6322e+07
0.5,22,1.73723e+08,3.14788e+07
0.5,23,1.69005e+08,1.74685e+07
0.5,24,1.66761e+08,8.02564e+06
0.5,25,1.66587e+08,8.48821e+06
0.5,26,1.66307e+08,8.03132e+06
0.5,27,1.67044e+08,9.13908e+06
0.5,28,1.68097e+08,1.04569e+07
0.5,29,1.70214e+08,1.2221e+07
0.5,30,1.66917e+08,5.53143e+06
0.6,1,1.9905e+08,9.25853e+06
0.6,2,1.98675e+08,1.16799e+07
0.6,3,1.98626e+08,8.56935e+06
0.6,4,1.98889e+08,1.65523e+07
0.6,5,2.01403e+08,1.18338e+07
0.6,6,2.01276e+08,2.58481e+07
0.6,7,2.13938e+08,7.52773e+07
0.6,8,2.07591e+08,6.02157e+07
0.6,9,1.98649e+08,3.30169e+07
0.6,10,1.98003e+08,2.43387e+07
0.6,11,1.97144e+08,1.87725e+07
0.6,12,2.06441e+08,7.82891e+07
0.6,13,2.05575e+08,5.51603e+07
0.6,14,2.08359e+08,7.40869e+07
0.6,15,2.10084e+08,7.31233e+07
0.6,16,2.94975e+08,1.26321e+08
0.6,17,2.24803e+08,1.1674e+08
0.6,18,2.22981e+08,6.86586e+07
0.6,19,2.18449e+08,7.84589e+07
0.6,20,2.07466e+08,9.34276e+06
0.6,21,2.05802e+08,1.82147e+07
0.6,22,2.0791e+08,5.00263e+07
0.6,23,2.19307e+08,6.74003e+07
0.6,24,2.21696e+08,4.83171e+07
0.6,25,2.10313e+08,5.35897e+07
0.6,26,2.1495e+08,6.63872e+07
0.6,27,2.12969e+08,7.43648e+07
0.6,28,2.08373e+08,6.2527e+07
0.6,29,2.09401e+08,5.75632e+07
0.6,30,2.14804e+08,6.38194e+07
0.7,1,2.48672e+08,7.04332e+07
0.7,2,2.48111e+08,8.62666e+07
0.7,3,2.48063e+08,7.02819e+07
0.7,4,2.65687e+08,8.39795e+07
0.7,5,2.5006e+08,3.58326e+07
0.7,6,2.40349e+08,2.02461e+07
0.7,7,2.55629e+08,7.06142e+07
0.7,8,2.52247e+08,6.7717e+07
0.7,9,2.48675e+08,7.10853e+07
0.7,10,2.54202e+08,5.76639e+07
0.7,11,2.61944e+08,8.87454e+07
0.7,12,2.54958e+08,8.17197e+07
0.7,13,2.5509e+08,6.93982e+07
0.7,14,2.56504e+08,7.58471e+07
0.7,15,2.54678e+08,8.26773e+07
0.7,16,2.56574e+08,7.75596e+07
0.7,17,2.58154e+08,7.9846e+07
0.7,18,2.50618e+08,5.76654e+07
0.7,19,2.49202e+08,4.61044e+07
0.7,20,2.51941e+08,7.60097e+07
0.7,21,2.48963e+08,5.98848e+07
0.7,22,2.50099e+08,4.31845e+07
0.7,23,2.45955e+08,5.15894e+07
0.7,24,2.49571e+08,6.53952e+07
0.7,25,2.48855e+08,7.38386e+07
0.7,26,2.50774e+08,7.80701e+07
0.7,27,2.54453e+08,8.56594e+07
0.7,28,2.53381e+08,8.57413e+07
0.7,29,2.53936e+08,8.49746e+07
0.7,30,2.59485e+08,7.5428e+07
0.8,1,2.88929e+08,8.51569e+07
0.8,2,2.84329e+08,9.62313e+07
0.8,3,2.92854e+08,9.97849e+07
0.8,4,2.85659e+08,8.41442e+07
0.8,5,2.92629e+08,1.09314e+08
0.8,6,2.80418e+08,5.13781e+07
0.8,7,2.80016e+08,5.18163e+07
0.8,8,2.81195e+08,4.61788e+07
0.8,9,2.77386e+08,4.63122e+07
0.8,10,2.79026e+08,5.09307e+07
0.8,11,2.8619e+08,5.25156e+07
0.8,12,2.94641e+08,7.22035e+07
0.8,13,2.84893e+08,6.2102e+07
0.8,14,3.30096e+08,5.97256e+07
0.8,15,3.01952e+08,9.15706e+07
0.8,16,3.00911e+08,1.07628e+08
0.8,17,2.84663e+08,4.90103e+07
0.8,18,2.84653e+08,5.10724e+07
0.8,19,2.86192e+08,6.53951e+07
0.8,20,2.81944e+08,5.48976e+07
0.8,21,2.81008e+08,4.61959e+07
0.8,22,2.85338e+08,5.09337e+07
0.8,23,2.82209e+08,5.16553e+07
0.8,24,2.82726e+08,6.15466e+07
0.8,25,2.84244e+08,4.42138e+07
0.8,26,2.81558e+08,4.71742e+07
0.8,27,2.83198e+08,4.75123e+07
0.8,28,2.82302e+08,5.37949e+07
0.8,29,2.80318e+08,4.46346e+07
0.8,30,2.81469e+08,6.09739e+07
0.9,1,3.17653e+08,6.03378e+07
0.9,2,3.22046e+08,8.46645e+07
0.9,3,3.16828e+08,5.32897e+07
0.9,4,3.13003e+08,5.08279e+07
0.9,5,3.19429e+08,4.36604e+07
0.9,6,3.17824e+08,4.87348e+07
0.9,7,3.14418e+08,5.3261e+07
0.9,8,3.13596e+08,5.07751e+07
0.9,9,3.11447e+08,5.18979e+07
0.9,10,3.148e+08,4.90371e+07
0.9,11,3.13982e+08,5.97412e+07
0.9,12,3.21281e+08,7.56603e+07
0.9,13,3.15871e+08,6.84073e+07
0.9,14,3.15975e+08,5.75681e+07
0.9,15,3.13011e+08,5.9079e+07
0.9,16,3.13322e+08,6.24778e+07
0.9,17,3.14984e+08,5.63695e+07
0.9,18,3.15335e+08,6.15219e+07
0.9,19,3.09797e+08,3.97354e+07
0.9,20,3.15351e+08,5.38872e+07
0.9,21,3.34936e+08,6.01422e+07
0.9,22,3.1622e+08,5.6703e+07
0.9,23,3.16578e+08,5.13539e+07
0.9,24,3.12982e+08,5.42763e+07
0.9,25,3.09525e+08,5.37227e+07
0.9,26,3.11512e+08,6.26326e+07
0.9,27,3.13356e+08,7.00196e+07
0.9,28,3.04235e+08,5.40086e+07
0.9,29,3.2389e+08,6.36561e+07
0.9,30,3.12756e+08,3.40856e+07
