density,instance,t_mean,t_stdev
0.1,1,4.56822e+06,1.69848e+06
0.1,2,4.20215e+06,557633
0.1,3,4.14803e+06,1.27397e+06
0.1,4,4.06677e+06,1.03963e+06
0.1,5,4.26112e+06,942091
0.1,6,4.07415e+06,436362
0.1,7,4.22397e+06,1.16129e+06
0.1,8,4.24431e+06,1.03401e+06
0.1,9,4.37839e+06,1.02659e+06
0.1,10,4.23297e+06,1.14907e+06
0.1,11,4.12228e+06,983446
0.1,12,4.33928e+06,1.37549e+06
0.1,13,4.14717e+06,1.11557e+06
0.1,14,4.43818e+06,1.47024e+06
0.1,15,4.25997e+06,1.08917e+06
0.1,16,4.19334e+06,1.01678e+06
0.1,17,4.16385e+06,953034
0.1,18,4.05822e+06,979163
0.1,19,4.19731e+06,1.34005e+06
0.1,20,4.42165e+06,1.29557e+06
0.1,21,4.18618e+06,1.08778e+06
0.1,22,4.46385e+06,1.04069e+06
0.1,23,4.19616e+06,1.06594e+06
0.1,24,4.29042e+06,1.32932e+06
0.1,25,4.10319e+06,600262
0.1,26,4.31838e+06,1.16991e+06
0.1,27,4.59142e+06,1.20758e+06
0.1,28,4.34324e+06,1.30798e+06
0.1,29,4.1978e+06,1.07699e+06
0.1,30,4.6054e+06,1.21818e+06
0.2,1,7.79517e+06,1.54731e+06
0.2,2,8.00975e+06,1.23451e+06
0.2,3,8.03234e+06,1.14e+06
0.2,4,7.91311e+06,1.19293e+06
0.2,5,8.11471e+06,1.32786e+06
0.2,6,8.11814e+06,1.21252e+06
0.2,7,7.97751e+06,1.17157e+06
0.2,8,7.87244e+06,994104
0.2,9,8.16225e+06,1.43074e+06
0.2,10,7.91968e+06,1.24713e+06
0.2,11,7.97713e+06,689708
0.2,12,7.71393e+06,1.25856e+06
0.2,13,8.05151e+06,1.39634e+06
0.2,14,7.86051e+06,1.05004e+06
0.2,15,7.77111e+06,512553
0.2,16,7.87602e+06,1.23073e+06
0.2,17,7.76835e+06,989695
0.2,18,8.05328e+06,1.10568e+06
0.2,19,7.91049e+06,652736
0.2,20,8.15245e+06,1.64355e+06
0.2,21,8.06474e+06,1.21667e+06
0.2,22,7.92063e+06,1.14079e+06
0.2,23,7.83361e+06,1.10245e+06
0.2,24,8.03352e+06,1.38438e+06
0.2,25,8.3327e+06,1.22343e+06
0.2,26,8.41061e+06,1.65532e+06
0.2,27,8.01677e+06,1.21978e+06
0.2,28,7.89769e+06,653498
0.2,29,8.20125e+06,1.1681e+06
0.2,30,9.2044e+06,1.91897e+06
0.3,1,1.30285e+07,2.52274e+06
0.3,2,1.16429e+07,1.27905e+06
0.3,3,1.15314e+07,1.21367e+06
0.3,4,1.13836e+07,1.23497e+06
0.3,5,1.16878e+07,1.257e+06
0.3,6,1.16092e+07,1.03474e+06
0.3,7,1.14082e+07,663782
0.3,8,1.15921e+07,1.57492e+06
0.3,9,1.13852e+07,1.04625e+06
0.3,10,1.16405e+07,1.41451e+06
0.3,11,1.14302e+07,1.20392e+06
0.3,12,1.12664e+07,1.11873e+06
0.3,13,1.16881e+07,1.34636e+06
0.3,14,1.15402e+07,1.30082e+06
0.3,15,1.14773e+07,1.29527e+06
0.3,16,1.17241e+07,1.15903e+06
0.3,17,1.15843e+07,1.15218e+06
0.3,18,1.13311e+07,581034
0.3,19,1.17896e+07,901871
0.3,20,1.14044e+07,1.1434e+06
0.3,21,1.15109e+07,1.17765e+06
0.3,22,1.16504e+07,1.21085e+06
0.3,23,1.1299e+07,986677
0.3,24,1.11446e+07,1.15736e+06
0.3,25,1.16764e+07,1.08999e+06
0.3,26,1.13309e+07,1.1248e+06
0.3,27,1.14115e+07,1.33372e+06
0.3,28,1.14315e+07,1.1703e+06
0.3,29,1.12859e+07,680866
0.3,30,1.15537e+07,1.22888e+06
0.4,1,1.51558e+07,1.28276e+06
0.4,2,1.49807e+07,1.2299e+06
0.4,3,1.47842e+07,719741
0.4,4,1.5755e+07,1.607e+06
0.4,5,1.61445e+07,1.53472e+06
0.4,6,1.50698e+07,1.21676e+06
