size,density,t_mean,t_stdev,iset_mean,iset_stdev
1000,0.1,4267006.142,959066.4632,49.03333333,1.853591428
1000,0.2,8307104.045,1531991.313,27.03333333,1.224929328
1000,0.3,11847799.58,1491634.889,17.93333333,1.209854106
1000,0.4,15342520.96,1296908.61,13.36666667,1.048825418
1000,0.5,19342002.53,1849107.301,10.56666667,0.6678474076
1000,0.6,23004069.37,1978628.639,8.633333333,0.8364315018
1000,0.7,28157607.16,4926123.851,6.633333333,0.6049270532
1000,0.8,29442054.07,1726573.859,5.233333333,0.55905974
1000,0.9,32776570.77,1672770.593,3.933333333,0.44244714
2000,0.1,15926763.41,1235392.543,56.06666667,2.280564236
2000,0.2,30553705.93,1436055.821,29.93333333,1.54856499
2000,0.3,44723749.96,1970615.214,19.76666667,1.055169178
2000,0.4,59040057.19,2455762.302,14.63333333,0.9485916971
2000,0.5,73355870.78,2905678.517,11.1,0.8310953612
2000,0.6,87470203.26,3317915.932,8.833333333,0.4536186716
2000,0.7,101653066.4,3618806.201,7.366666667,0.7955384804
2000,0.8,115508687.4,3947591.078,5.733333333,0.5737872765
2000,0.9,129282138.2,4708998.993,4.3,0.5862519468
3000,0.1,33961075.89,1950817.356,59.5,2.013510156
3000,0.2,66804505.34,3259879.119,31,1.366972252
3000,0.3,98593731.29,4016036.336,20.73333333,1.413377666
3000,0.4,131000275.5,4628054.737,15.36666667,1.110633659
3000,0.5,162824494.5,5287716.934,11.7,0.8230262832
3000,0.6,194751195.2,5813148.709,9.166666667,0.8600345152
3000,0.7,227195703.1,6118861.125,7.433333333,0.7160700688
3000,0.8,257955183.7,6141764.067,5.833333333,0.6875424593
3000,0.9,289466875.3,6515176.83,4.333333333,0.471650236
