size,density,t_mean,t_stdev,iset_mean,iset_stdev
1000,0.1,6007680.495,900593.7239,48.55208333,2.100051103
1000,0.2,8504593.608,975798.7142,26.28125,1.511189582
1000,0.3,11755597.94,1081787.162,17.74375,1.183375679
1000,0.4,15133568.55,1146706.085,13.08125,1.014833929
1000,0.5,18648823.07,1269653.036,10.18645833,0.9039502916
1000,0.6,22142499.3,1355844.474,8.088541667,0.7569448763
1000,0.7,25498603.2,1441062.902,6.458333333,0.6776126076
1000,0.8,28920918.03,1513139.933,5.105208333,0.5869398542
1000,0.9,32254536.52,1654366.711,3.83125,0.5173350538
2000,0.1,19635187.56,1266143.61,54.77604167,2.182700243
2000,0.2,31903543.88,1646239.989,29.06041667,1.511339079
2000,0.3,44787325.18,2055130.71,19.58229167,1.174769056
2000,0.4,57734112.84,2560789.889,14.39583333,1.032113826
2000,0.5,71420214.48,2718217.725,11.121875,0.8894824127
2000,0.6,85330344.54,3075188.206,8.73125,0.7618801862
2000,0.7,101792674.2,9119480.353,6.95625,0.6881709448
2000,0.8,111846447.3,3854488.254,5.426041667,0.5960846865
2000,0.9,125574038.3,4074393.679,4.094791667,0.4683674288
3000,0.1,39208118.23,1782493.979,58.21875,2.208161584
3000,0.2,68342590.22,2891691.71,30.82604167,1.493101606
3000,0.3,98241500.95,3297702.828,20.55729167,1.186845241
3000,0.4,129256575.1,4142917.744,15.07916667,1.010881017
3000,0.5,160253328.8,4566551.84,11.61875,0.8916613473
3000,0.6,191287271.2,5196939.213,9.147916667,0.7469059106
3000,0.7,224073716.7,6269185.853,7.266666667,0.6615724729
3000,0.8,254267855.9,5502868.121,5.613541667,0.5898197515
3000,0.9,286055243.4,5979051.651,4.260416667,0.4799372497
