size,density,t_mean,t_stdev,iset_mean,iset_stdev
1000,0.1,1.000943557e+10,3356877.324,62,0
1000,0.2,1.001630234e+10,1474250.027,35.03333333,0.1825741858
1000,0.3,1.002381355e+10,2248577.164,24,0
1000,0.4,1.003065763e+10,2149959.791,18,0
1000,0.5,1.003827285e+10,2595413.146,14,0
1000,0.6,1.004604453e+10,2369584.148,11,0
1000,0.7,1.005311339e+10,3337893.734,9,0
1000,0.8,1.005979306e+10,2708056.38,7,0
1000,0.9,1.006667083e+10,2125595.75,5,0
2000,0.1,1.003238426e+10,2160334.901,70,0
2000,0.2,1.006061647e+10,2527335.476,39,0
2000,0.3,1.009306833e+10,2041762.833,27,0
2000,0.4,1.012199479e+10,4873236.88,20,0
2000,0.5,1.014998724e+10,2978882.071,16,0
2000,0.6,1.018323776e+10,3315947.753,12,0
2000,0.7,1.021277002e+10,4768035.92,10,0
2000,0.8,1.024164555e+10,5271788.356,7,0
2000,0.9,1.026886078e+10,5052638.134,5,0
3000,0.1,1.007350225e+10,6663109.809,76,0
3000,0.2,1.013766754e+10,4642630.075,40,0
3000,0.3,1.02013063e+10,5979038.86,28,0
3000,0.4,1.02738735e+10,4822763.16,21,0
3000,0.5,1.034938172e+10,8417631.46,16,0
3000,0.6,1.041471077e+10,10647224.97,13,0
3000,0.7,1.047629955e+10,15978723.82,10,0
3000,0.8,1.053982182e+10,13056287.13,8,0
3000,0.9,1.060285498e+10,7021987.948,6,0
