density,instance,t_mean,t_stdev
0.1,1,7.53843e+07,6.79803e+06
0.1,2,7.66475e+07,5.98714e+06
0.1,3,7.51477e+07,5.29906e+06
0.1,4,8.86778e+07,5.69631e+06
0.1,5,8.78799e+07,3.19511e+07
0.1,6,7.53843e+07,5.68297e+06
0.1,7,7.51033e+07,4.66366e+06
0.1,8,9.07515e+07,6.62464e+06
0.1,9,8.18812e+07,1.37465e+07
0.1,10,8.62976e+07,2.30532e+07
0.1,11,8.12709e+07,5.55517e+06
0.1,12,8.06489e+07,5.19602e+06
0.1,13,8.38125e+07,1.55796e+07
0.1,14,9.22556e+07,5.68139e+06
0.1,15,8.28771e+07,1.98627e+07
0.1,16,8.23408e+07,9.3328e+06
0.1,17,8.03988e+07,7.0022e+06
0.1,18,7.95236e+07,1.2392e+07
0.1,19,9.85678e+07,2.17046e+07
0.1,20,9.41086e+07,8.55352e+06
0.1,21,7.70471e+07,5.67339e+06
0.1,22,7.82365e+07,1.28775e+07
0.1,23,8.40351e+07,1.94877e+07
0.1,24,8.15071e+07,6.11227e+06
0.1,25,7.9316e+07,6.38988e+06
0.1,26,9.4215e+07,4.81484e+06
0.1,27,8.76267e+07,3.16573e+07
0.1,28,9.6972e+07,6.87504e+06
0.1,29,8.4873e+07,2.19449e+07
0.1,30,9.23509e+07,5.92022e+06
0.2,1,1.21507e+08,1.28399e+07
0.2,2,1.19604e+08,1.13548e+07
0.2,3,1.17803e+08,2.28484e+07
0.2,4,1.6525e+08,1.99324e+07
0.2,5,1.79831e+08,4.44061e+07
0.2,6,1.99886e+08,8.86089e+07
0.2,7,1.94792e+08,4.49488e+07
0.2,8,2.29701e+08,8.7702e+07
0.2,9,2.51258e+08,1.24611e+08
0.2,10,1.94542e+08,4.24911e+07
0.2,11,1.82077e+08,2.30141e+07
0.2,12,2.04947e+08,3.71404e+07
0.2,13,2.08309e+08,5.19321e+07
0.2,14,1.78658e+08,3.57238e+07
0.2,15,1.79415e+08,1.28765e+07
0.2,16,1.91267e+08,3.45234e+07
0.2,17,1.85855e+08,2.21503e+07
0.2,18,1.76351e+08,1.80433e+07
0.2,19,1.68633e+08,1.02996e+07
0.2,20,1.70352e+08,1.25509e+07
0.2,21,1.70414e+08,1.91822e+07
0.2,22,1.75655e+08,1.83767e+07
0.2,23,1.71761e+08,7.98988e+06
0.2,24,1.72573e+08,1.25472e+07
0.2,25,1.77231e+08,1.65944e+07
0.2,26,1.73463e+08,2.39829e+07
0.2,27,1.70415e+08,1.57607e+07
0.2,28,1.71398e+08,1.09281e+07
0.2,29,1.77498e+08,2.72707e+07
0.2,30,1.68015e+08,1.2422e+07
0.3,1,2.40962e+08,2.38781e+07
0.3,2,2.39184e+08,2.42731e+07
0.3,3,2.34574e+08,1.62879e+07
0.3,4,2.33552e+08,2.88517e+07
0.3,5,2.29101e+08,3.72305e+07
0.3,6,2.14053e+08,1.40631e+07
0.3,7,2.16733e+08,2.2746e+07
0.3,8,2.23258e+08,3.9325e+07
0.3,9,2.02583e+08,4.94971e+07
0.3,10,1.87186e+08,1.76552e+07
0.3,11,1.92492e+08,1.97938e+07
0.3,12,1.88982e+08,1.38449e+07
0.3,13,1.92969e+08,1.26677e+07
0.3,14,1.97588e+08,2.80482e+07
0.3,15,1.94205e+08,1.97908e+07
0.3,16,1.80937e+08,8.73386e+06
0.3,17,1.90788e+08,1.68759e+07
0.3,18,2.12227e+08,8.02592e+07
0.3,19,1.83543e+08,1.17545e+07
0.3,20,1.76931e+08,1.27099e+07
0.3,21,1.71906e+08,7.23348e+06
0.3,22,1.77774e+08,1.61751e+07
0.3,23,1.83447e+08,2.51409e+07
0.3,24,1.92582e+08,1.9272e+07
0.3,25,1.876e+08,8.44872e+06
0.3,26,1.94555e+08,2.74614e+07
0.3,27,1.91783e+08,7.41516e+06
0.3,28,1.88618e+08,1.59619e+07
0.3,29,1.98563e+08,2.85066e+07
0.3,30,1.84184e+08,1.40358e+07
0.4,1,2.52148e+08,3.9381e+07
0.4,2,2.51264e+08,2.68793e+07
0.4,3,2.51582e+08,2.50408e+07
0.4,4,2.31663e+08,5.76515e+06
0.4,5,2.39533e+08,2.38908e+07
0.4,6,2.34837e+08,1.5511e+07
0.4,7,2.40448e+08,1.64036e+07
0.4,8,2.44684e+08,3.11979e+07
0.4,9,2.27008e+08,1.59731e+07
0.4,10,2.41896e+08,2.66095e+07
0.4,11,2.39067e+08,2.13702e+07
0.4,12,2.41772e+08,1.76616e+07
0.4,13,2.31309e+08,1.54499e+07
0.4,14,2.27994e+08,1.89195e+07
0.4,15,2.38109e+08,3.09027e+07
0.4,16,2.36878e+08,1.79265e+07
0.4,17,2.50083e+08,3.34099e+07
0.4,18,2.36134e+08,1.58376e+07
0.4,19,2.42753e+08,2.28453e+07
0.4,20,2.39838e+08,2.7622e+07
0.4,21,2.29989e+08,8.31309e+06
0.4,22,2.37027e+08,3.05732e+07
0.4,23,2.37663e+08,2.68043e+07
0.4,24,2.28113e+08,1.71748e+07
0.4,25,2.35721e+08,1.85608e+07
0.4,26,2.31022e+08,1.6274e+07
0.4,27,2.44748e+08,3.60923e+07
0.4,28,2.3044e+08,2.47058e+07
0.4,29,2.36263e+08,1.58083e+07
0.4,30,2.37169e+08,2.13385e+07
0.5,1,2.89593e+08,3.40375e+07
0.5,2,2.93211e+08,1.82165e+07
0.5,3,2.94106e+08,4.2418e+07
0.5,4,2.85072e+08,2.23083e+07
0.5,5,2.86259e+08,1.1143e+07
0.5,6,2.89135e+08,2.63781e+07
0.5,7,2.96823e+08,2.44106e+07
0.5,8,2.79614e+08,2.01528e+07
0.5,9,3.32369e+08,3.60008e+07
0.5,10,2.92371e+08,3.11211e+07
0.5,11,2.88763e+08,2.43882e+07
0.5,12,3.0506e+08,4.37216e+07
0.5,13,2.90568e+08,3.09655e+07
0.5,14,2.86534e+08,9.46731e+06
0.5,15,3.0179e+08,4.45424e+07
0.5,16,2.92942e+08,1.64366e+07
0.5,17,2.9839e+08,3.15932e+07
0.5,18,2.86941e+08,1.74513e+07
0.5,19,3.20752e+08,4.17535e+07
0.5,20,3.02944e+08,4.62811e+07
0.5,21,2.99182e+08,4.44351e+07
0.5,22,3.7246e+08,2.75805e+07
0.5,23,3.91224e+08,4.11182e+07
0.5,24,3.60301e+08,6.53117e+07
0.5,25,2.72814e+08,5.87871e+07
0.5,26,2.48236e+08,2.3982e+07
0.5,27,2.62207e+08,3.18171e+07
0.5,28,2.57701e+08,1.93369e+07
0.5,29,2.76259e+08,3.82083e+07
0.5,30,2.59012e+08,2.99715e+07
0.6,1,3.17337e+08,6.03645e+07
0.6,2,3.0545e+08,2.85368e+07
0.6,3,3.52117e+08,7.13595e+07
0.6,4,4.3692e+08,4.47992e+07
0.6,5,4.28868e+08,2.01193e+07
0.6,6,4.18461e+08,4.35453e+07
0.6,7,4.197e+08,3.33942e+07
0.6,8,4.09548e+08,3.76527e+07
0.6,9,4.37047e+08,4.42659e+07
0.6,10,3.34059e+08,5.55759e+07
0.6,11,3.72142e+08,9.68869e+07
0.6,12,3.15235e+08,4.41156e+07
0.6,13,3.00466e+08,3.54513e+07
0.6,14,2.89165e+08,2.55663e+07
0.6,15,3.19553e+08,6.55384e+07
0.6,16,3.12047e+08,4.40894e+07
0.6,17,2.9127e+08,2.18131e+07
0.6,18,3.2635e+08,4.20935e+07
0.6,19,3.00239e+08,4.09747e+07
0.6,20,3.08847e+08,2.34681e+07
0.6,21,2.99738e+08,2.32323e+07
0.6,22,3.18823e+08,4.80271e+07
0.6,23,3.2255e+08,4.28504e+07
0.6,24,2.86892e+08,3.93783e+07
0.6,25,2.89982e+08,2.85077e+07
0.6,26,2.88875e+08,3.08238e+07
0.6,27,3.03946e+08,3.29773e+07
0.6,28,4.20039e+08,9.22207e+07
0.6,29,4.60601e+08,2.80566e+07
0.6,30,4.33412e+08,4.8107e+07
0.7,1,4.55082e+08,7.62748e+07
0.7,2,5.2436e+08,4.61865e+07
0.7,3,4.76895e+08,1.03311e+08
0.7,4,4.00805e+08,9.37249e+07
0.7,5,5.5587e+08,4.93301e+07
0.7,6,4.68099e+08,1.08767e+08
0.7,7,3.48138e+08,3.46756e+07
0.7,8,3.37314e+08,2.57931e+07
0.7,9,3.41574e+08,2.60138e+07
0.7,10,3.48834e+08,2.56099e+07
0.7,11,3.40197e+08,3.05704e+07
0.7,12,3.22859e+08,2.15955e+07
0.7,13,3.36593e+08,2.96973e+07
0.7,14,3.44147e+08,2.98851e+07
0.7,15,3.44489e+08,2.22597e+07
0.7,16,3.41471e+08,2.63845e+07
0.7,17,3.39792e+08,3.28408e+07
0.7,18,3.47011e+08,5.1496e+07
0.7,19,3.35978e+08,3.16573e+07
0.7,20,3.39028e+08,4.09565e+07
0.7,21,5.28715e+08,1.46322e+08
0.7,22,3.87649e+08,6.39053e+07
0.7,23,3.47109e+08,3.2719e+07
0.7,24,3.27647e+08,2.38895e+07
0.7,25,3.35836e+08,3.57804e+07
0.7,26,3.30017e+08,3.28928e+07
0.7,27,3.40031e+08,2.07999e+07
0.7,28,3.39934e+08,3.09383e+07
0.7,29,3.22584e+08,2.83935e+07
0.7,30,3.23373e+08,2.07188e+07
0.8,1,3.76652e+08,3.44137e+07
0.8,2,3.60621e+08,2.40524e+07
0.8,3,3.66025e+08,3.10068e+07
0.8,4,3.67831e+08,2.73591e+07
0.8,5,3.82652e+08,4.14156e+07
0.8,6,3.64473e+08,2.50303e+07
0.8,7,3.77319e+08,3.47697e+07
0.8,8,3.7725e+08,3.6651e+07
0.8,9,3.69838e+08,2.51901e+07
0.8,10,3.6934e+08,3.15603e+07
0.8,11,3.76681e+08,4.04922e+07
0.8,12,3.80574e+08,3.58328e+07
0.8,13,3.77232e+08,2.84302e+07
0.8,14,3.73115e+08,3.39022e+07
0.8,15,3.68587e+08,2.84658e+07
0.8,16,3.89267e+08,3.70575e+07
0.8,17,3.71568e+08,2.57298e+07
0.8,18,3.65376e+08,2.47254e+07
0.8,19,3.82085e+08,2.97012e+07
0.8,20,3.71267e+08,3.47656e+07
0.8,21,3.91363e+08,3.4842e+07
0.8,22,3.70335e+08,2.82489e+07
0.8,23,3.81427e+08,3.11304e+07
0.8,24,3.85567e+08,3.11939e+07
0.8,25,3.82963e+08,3.38373e+07
0.8,26,3.75399e+08,3.60297e+07
0.8,27,3.75338e+08,3.25267e+07
0.8,28,3.83256e+08,3.30844e+07
0.8,29,3.77659e+08,3.12676e+07
0.8,30,3.68165e+08,3.39605e+07
0.9,1,4.27494e+08,2.95222e+07
0.9,2,4.34539e+08,3.82646e+07
0.9,3,4.20371e+08,2.74603e+07
0.9,4,4.18494e+08,2.65056e+07
0.9,5,4.18279e+08,3.38515e+07
0.9,6,4.24621e+08,3.74646e+07
0.9,7,4.39312e+08,3.71858e+07
0.9,8,4.26014e+08,3.3122e+07
0.9,9,4.37709e+08,3.36015e+07
0.9,10,4.20617e+08,3.20028e+07
0.9,11,4.57853e+08,8.13012e+07
0.9,12,4.09021e+08,3.31192e+07
0.9,13,4.27618e+08,3.24161e+07
0.9,14,4.33307e+08,2.91239e+07
0.9,15,4.32794e+08,3.53399e+07
0.9,16,4.33372e+08,3.45952e+07
0.9,17,4.09927e+08,3.08054e+07
0.9,18,4.19264e+08,4.19206e+07
0.9,19,4.37899e+08,4.19266e+07
0.9,20,4.23628e+08,3.8692e+07
0.9,21,4.08443e+08,3.43694e+07
0.9,22,4.17566e+08,3.09468e+07
0.9,23,4.22484e+08,3.18927e+07
0.9,24,4.24115e+08,2.8617e+07
0.9,25,4.24545e+08,2.40955e+07
0.9,26,4.42289e+08,5.40475e+07
0.9,27,4.30944e+08,4.07992e+07
0.9,28,4.25563e+08,3.55219e+07
0.9,29,4.2808e+08,3.54711e+07
0.9,30,4.20706e+08,2.8622e+07
